Date,Open,High,Low,Close,Adj Close,Volume,%(close),AVE %
1/9/2016,20.940001,21.370001,19.4,20.309999,18.802965,1808900,-0.059576517,
1/10/2016,20.290001,20.860001,19.1,19.1,17.682749,2215800,-0.082198901,
1/11/2016,19.200001,19.25,16.93,17.530001,16.229246,2917200,-0.054763317,
1/12/2016,17.709999,18.68,16.450001,16.57,15.340477,4338000,0.043452082,
1/1/2017,16.73,17.959999,16.73,17.290001,16.800989,1792200,0.08502018,
1/2/2017,17.389999,19.190001,17.18,18.76,18.229412,5406300,-0.078891205,
1/3/2017,19.01,19.02,17.08,17.280001,16.791271,3503300,0.012731423,
1/4/2017,17.370001,17.65,17,17.5,17.005049,2415600,0.057714286,
1/5/2017,17.540001,18.690001,17.459999,18.51,17.986481,2859400,0.074554241,
1/6/2017,18.6,20.09,18.16,19.889999,19.327452,6547400,0.087983916,
1/7/2017,20.040001,21.700001,19.41,21.639999,21.027956,5186000,0.002772736,
1/8/2017,21.809999,22.299999,21.059999,21.700001,21.086258,5271300,-0.002304193,
1/9/2017,21.77,22.77,21.049999,21.65,21.037672,6029100,0.107621247,
1/10/2017,21.65,24.34,21.5,23.98,23.301773,5384000,0.024603837,
1/11/2017,24.02,25.5,23.98,24.57,23.875088,6362900,0.022791982,
1/12/2017,24.49,25.299999,23.059999,25.129999,24.419247,5237200,-0.002785515,
1/1/2018,25.42,26.700001,24.92,25.059999,24.787386,5485100,-0.031524303,
1/2/2018,24.83,25.48,21.74,24.27,24.00598,5392100,0.011948867,
1/3/2018,24.360001,25.969999,23.709999,24.559999,24.292826,2578300,0.002443078,
1/4/2018,24.440001,25.469999,23.549999,24.620001,24.352173,1867400,0.034930908,
1/5/2018,24.610001,27.07,24.049999,25.48,25.202816,4944100,-0.093406593,
1/6/2018,25.67,25.77,22.610001,23.1,22.848707,4379400,-0.015584416,
1/7/2018,22.84,23.950001,22.34,22.74,22.492622,2016800,-0.04001759,
1/8/2018,22.530001,22.9,20.700001,21.83,21.592522,1711600,-0.049931287,
1/9/2018,21.83,21.889999,20.620001,20.74,20.514381,1025400,-0.108486017,
1/10/2018,20.83,21.129999,17.469999,18.49,18.288857,2714800,0.138453164,
1/11/2018,18.59,21.85,18.540001,21.049999,20.821009,2061600,-0.118764851,
1/12/2018,21.440001,21.51,17.93,18.549999,18.348202,1995700,0.255525728,
